Items,Index,BIO,OR., PRIX ,EMBALLAGE SECONDAIRE,EMBALLAGE PRIMAIRE,UNITÉS X EMB.,col. libre,Preparé pour la liste du collectif,Categorie,Nom,Brand,Brand 2,Date,Commentaires
POMME (BIO) AMBROSIA VIVA TIERRA 113 WA,Y1484,BIO,,"40,50 $",,,,,oui,Canadawide,,,,,
Pomme (Bio) Locale Cortland Maia 35lbs QC,Y1504,BIO,QC,"49,50 $",BOITE/35LBS,LBS,35,,OUI,Canadawide,,,,À vérifier,
POMME (BIO) LOCALE MCINTOSH MAIA 35LBS QC,Y1506,BIO,QC,"52,50 $",18X2LBS,2LBS,18,,OUI,Canadawide,,,,5 avr. 2024,
POMME GR.SMITH COPA 112/113 ES,Y1532,,ES,"49,75 $",112UN,UN,112,,OUI,Canadawide,,,,8 juill. 2025,
POMME LOCALE JAUNE LOOSE QC 36LBS,Y1544,,QC,"36,25 $",BOITE 36LBS,LBS,36,#REF!,OUI,Canadawide,,,,23 décembre 2025,
POMME LOCALE MCINTOSH 113/120/125,Y1545,,QC,"  32,00  $ ",BOITE 113/120/125,UN,113,,OUI,Canadawide,,,,31 déc. 2024,
POMME LOCALE MCINTOSH 36LBS 130 UN PAR BOITE,Y1546,,QC,"27,50 $",BOITE 36LBS,LBS,36,,OUI,Canadawide,,,,20 janv. 2026,
POMME LOCALE SPARTAN 36LBS,Y1548,,QC,"29,00 $",BOITE 36LBS,LBS,36,,OUI,Canadawide,,,,15 oct. 2024,
"POMME ROYAL GALA GEE WHIZ SAC 12X2,5LBS",Y1559, ,WA,"33,50 $","12X2,5LBS","2,5LBS",12,,OUI,Canadawide,,,,12 nov. 2024,
POMMEGRENADE MOLLAR CAMBAYAS 9KG 30 ES,Y1560,,ES,"32,50 $",30 PAR BOITE,UN,30,,OUI,Canadawide,,,,23 décembre 2025,
POMMEGRENADE ROYAL 3.5KG 12 EG,Y1561,,EG,"15,50 $",12 PAR BOITE,UN,12,,OUI,Canadawide,,,,9 déc. 2025,
Pommes (Bio) Locale SPARTAN Maia 35LBS QC,Y1562,BIO,QC,"49,50 $",BOITE/35LBS,LBS,35,,OUI,Canadawide,,,,14 mars 2024,
POUSSE (BIO) LUZERNE REG. AQUAFUCHSIA 12X75GR,Y1563,BIO,QC,"18,50 $",75GR,75GR,12,,OUI,Canadawide,,,,11 mars 2025,
POUSSE (BIO) POIS MANGE TOUT 12X75GR,Y1564,BIO,QC,"20,75 $",75GR,75GR,12,,OUI,Canadawide,,,,11 mars 2025,
POUSSE POIS MANGE TOUT 10LBS GT,Y1567,,GT,"17,50 $",10LBS,LBS,10,,OUI,Canadawide,,,,25 févr. 2025,
POUSSE REGULIER 12X75GR,Y1569,,,"  16,50  $ ",75GR,75gr,12,,OUI,Canadawide,,,,16 mars 2025,
PRUNE NOIR ANGELENO TOP FRESH 55/60,Y1570,,IT,"  36,50  $ ",BOITE 9KG QTE 120,UN,120,,OUI,Canadawide,,,,29 oct. 2024,
PRUNE ONTARIO BLUE PANIER 10X1.5 ON,Y1571,,ON,"  43,50  $ ",10X1.5L,1.5L,10,,OUI,Canadawide,,,,24 sept. 2024,
RABIOLE 25LBS QC,Y1573,,QC,"  25,00  $ ",SAC 25LBS,LBS,25,,OUI,canadawide,,,,27 janv. 2026,
RADICCHIO ROYAL ROSE 12 QC,Y1575,,QC,"  14,50  $ ",BOITE/12,UN,12,,OUI,Canadawide,,,,4 nov. 2024,
RADIS (BIO) D'ÉTÉ,Y1576,BIO,AHUNT,"1,93 $",6 À 8 - 300GR,UN,1,,OUI,Canadawide,,JARDIN AU COURANT,,20 juin 2024,
RADIS (BIO) MELON D'EAU VALLONS 10LBS QC,Y1577,BIO,QC,"17,50 $",10LBS,LBS,10,,OUI,Canadawide,, ,,6 janv. 2026,
RADIS FEUILLE JAG 2DZ QC,Y1581,,QC,"15,75 $",2DZ-24,UN,24,,OUI,Canadawide,,,,12 août 2025,
RADIS FEUILLE RADISH KING 4DZ MX,Y1586,,MX,"22,00 $",4DZ,UN,48,,OUI,Canadawide,,,,1 avr. 2025,
RADIS MELON D'EAU 10LBS QC BIO,Y1588,BIO,QC,"18,00 $",10LBS,LBS,10,,OUI,Canadawide,,,,10 déc. 2024,
RAI.VERT SP IVORY MANUELITA JBO PE,Y1590,,PE,"39,50 $",18 LBS,LBS,18,#REF!,OUI,Canadawide,,,,18 févr. 2024,
RAI.VERT SWEET GLOBE LONAKA XLG ZA,Y1591,,ZA,"34,50 $",18 LBS,LBS,18,,OUI,Canadawide,,,,8 avr. 2025,
RAISIN (BIO) UNIQUE COTTON CANDY MOLINA 16 LBS,Y1592,,MX,"39,50 $",16LBS,LBS,16,,OUI,Canadawide,,,,29 juill. 2025,
RAISIN ONTARIO VERT PANIER 10X1.5 PANIER ONT,Y1593,,ON,"42,50 $","10x1,5LT",UN,10,,OUI,Canadawide,,,,16 septembre 2025,
RAISIN UNIQUE MUSCAT BEAUTY SANTA ELENA 16 LBS SAC,Y1594,,CI,"29,50 $",BOITE 16LBS,LBS,16,,OUI,Canadawide,,,,17 juin 2025,
RHUBARBE 10 LBS ON,Y1599,,ON,"  31,00  $ ",,,,,OUI,Canadawide,,,,14 juin 2024,
RHUBARBE SERBI 12X9 QC 9 BATONS,Y1600,,QC,"50,00 $",12X9?,UN,12,,OUI,Canadawide,,,,25 juin 2025,
SALADE MELANGE (BIO) LILYS 2LBS CA,Y1603, ,CA,"15,00 $",2LBS,LBS,2,,OUI,Canadawide,,,,21 oct. 2025,
SUPER MIX CLASSIC (MESCLUM) - 2LBS AC,Y1606,BIO,CA,"12,50 $",2LBS,LBS,2,,OUI,Canadawide,,,,22 oct. 2024,
Tangerine Au Miel Noble 100 FL,Y1609,,FL,"42,50 $",BOITE/100,UN,100,,OUI,Canadawide,,,,À vérifier,
TOFU (BIO) FINES HERBERS UNISOYA 6X454GR QC,Y1610,BIO,QC,"16,00 $",454g,454GR,6,,OUI,Canadawide,,,,5 avr. 2024,
Tofu (Bio) Nature Unisoya 6x454gr QC,Y1611,BIO,QC,"15,00 $",BOITE,454gr,6,,OUI,Canadawide,,,,2 mars 2025,
TOFU (BIO) NATURE UNISOYA 6X454GR QC... ,Y1613,BIO,QC,"  17,00  $ ",6X454GR,UN,6,,OUI,Canadawide,,,,18 nov. 2025,
Tomate  Heirloom  MX 10lbs,Y1623,,,"18,75 $",10KG/20 un,UN,20,,OUI,Canadawide,,,,15 mars 2024,
TOMATE (BIO) RAISIN MASTER TOUCH 12X1 MX,Y1629,BIO,MX,"24,50 $",12X1 PINTE,PINTE,12,,OUI,Canadawide,,,,16 févr. 2026,
TOMATE (H.H(QC) CERIZO SAVOURA 8LBS ,Y1632,,QC,"33,50 $",BOITE,LBS,8,,OUI,Canadawide,,,,16 avr. 2024,
"TOMATE CERISE WILD WONDERS 6 X 1,5 ON",Y1639,,ON,"13,00 $","6 X 1,5","1,5L",6,,OUI,Canadawide,,,,7 oct. 2025,
TOMATE DE CHAMPS SURPRENANT 20LBS MED,Y1641,,QC,"13,75 $",BOITE 25LBS,LBS,25,,OUI,Canadawide,,,,23 septembre 2025,
TOMATE H H(QC) S.VIGNE LA DIVA 5KG,Y1644,,QC,"9,75 $",11LBS,LBS,11,,OUI,Canadawide,,,,27 mai 2025,
TOMATE H H(QC) S.VIGNE SERRES BERGERON 5KG,Y1645,,QC,"15,75 $",BOITE/35,UN,35,,OUI,Canadawide,,,,11 oct. 2024,
Tomate H.H. (ON) Heirloom 10lbs,Y1649,,,"46,50 $",lbs,,10,,OUI,Canadawide,,,,6 mars 2024,
TOMATE H.H. (ON) S.VIGNE POLICELLA 5KG,Y1650,,ON,"7,50 $",BOITE 5KG,KG,5,,OUI,Canadawide,,,,19 mai 2025,
TOMATE H.H(EU) SUNSET 45 15LBS,Y1653,,EU,"16,50 $",15LBS/45,UN,45,,OUI,Canadawide,,,,17 décembre 2024,
TOMATE H.H(MX) KUMATO SUNSET 14X3,Y1654,,MX,"13,50 $",14X3,3UN,14,,OUI,Canadawide,,,,25 févr. 2025,
TOMATE H.H(MX) KUMATO SUNSET ENV 10X1,Y1655,,MX,"13,50 $",10x 454GRAMMES,454GR,10,,OUI,Canadawide,,,,18 nov. 2025,
TOMATE H.H(ON) CAMPARI SUNSET 10X1,Y1663,,ON,"  11,50  $ ",10X1,1LBS,10,,OUI,Canadawide,,,,22 juill. 2025,
TOMATE H.H(ON) MUCCI 22 15LBS,Y1666,,ON,"19,75 $",BOITE/28,UN,28,,OUI,Canadawide,,,,5 avr. 2024,
TOMATE H.H(ON) PURE FLAVOR 35 15LBS,Y1668,,ON,"13,50 $",15LBS 35,UN,35,,OUI,Canadawide,,,,15 avr. 2025,
TOMATE H.H(ON) S.VIGNE NAT.FRESH 5KG,Y1669,,ON,"11,75 $",BOITE 5KG,UN,35,,OUI,Canadawide,,,,1 avr. 2025,
TOMATE H.H(ON) S.VIGNE SUNSET 5KG,Y1670,,ON,"9,75 $",BOITE 5KG,UN,50,,OUI,Canadawide,,,,20 nov. 2024,
TOMATE H.H(ON) SUNSET 39 15LBS ,Y1673,,ON,"8,50 $",BOITE 15 LBS,UN,39,,OUI,Canadawide,,,,9 déc. 2025,
TOMATE H.H(ON) SUNSET 42 15LBS ,Y1674,,ON,"6,50 $",BOITE 15 LBS,UN,42,,OUI,Canadawide,,,,2 mai 2025,
TOMATE H.H(QC) COCKTAIL SAVOURA 9X1,Y1675,,QC,"14,50 $",9X1LBS,UN,9,,OUI,Canadawide,,,,21 oct. 2025,
TOMATE H.H(QC) DEMERS 35/39 15LBS,Y1677,,QC,"22,50 $",15LBS 35/39,UN,35,,OUI,Canadawide,,,,15 avr. 2025,
TOMATE H.H(QC) DEMERS MED/LG 20LBS,Y1678,,QC,"11,50 $",BOITE 20LBS,LBS,20,,OUI,Canadawide,,,,8 juin 2025,
TOMATE H.H(QC) DEMERS XL 15LBS,Y1679,,QC,"14,00 $",15LBS APROX 40,UN,40,,OUI,Canadawide,,,,29 mars 2024,
TOMATE H.H(QC) PETIT ITAL DEMERS 9X1LBS,Y1680,,QC,"16,00 $",9X1LBS,1LBS,9,,OUI,Canadawide,,,,23 décembre 2025,
TOMATE H.H(QC) ROUGE EXCEL SERRE 25LBS,Y1684,,QC,"19,50 $",25LBS,LBS,25,,OUI,Canadawide,,,,25 août 2025,
TOMATE H.H(QC) S.VIGNE DEMERS 5KG  33UN,Y1687,,QC,"11,50 $",BOITE 5KG/11LBS,UN,33,,OUI,Canadawide,,,,17 juin 2025,
TOMATE H.H(QC) VIGNE POLICELLA 5KG,Y1691,,QC,"10,50 $",BOITE 5KG/11LBS/30UN,UN,30,,OUI,Canadawide,,,,22 mai 2024,
TOMATE RAISIN MASTER TOUCH 12.. ,Y1703,,MX,"8,50 $",12X1 PINT,UN,12,,OUI,Canadawide,,,,2 mars 2025,
TOMATE RAISIN SUNSET 15X1 MX,Y1707,,MX,"15,50 $",BOITE 15X1,LBS,15,,OUI,Canadawide,,,,16 avr. 2024,
TOMATE ROMA ROCCO RED PURE FLAVOR 9X,Y1708,,MX,"16,00 $",9X?,1LB,9,,OUI,Canadawide,,,,25 nov. 2025,
TOMATE ROMA SUNSET XL 25LBS ,Y1709,,ON,"38,75 $",25LBS,LBS,25,,OUI,Canadawide,,,,24 févr. 2026,
TOMATE V.R(MX) CALAVO 4X45 25LBS,Y1710,,MX,"12,75 $",BOITE 25LBS,LBS,25,,OUI,Canadawide,,,,18 févr. 2024,
TOMATES CERISE OAKES FARMS12x1 EU,Y1711,,EU,"19,75 $",12X1,UN,12,,OUI,Canadawide,,,,10 janv. 2025,
TOMATES CERISE ROUGE BERTRAND 12x1 QC,Y1712,,QC,"54,50 $",12X1,UN,12,,OUI,Canadawide,,,,26 juin 2024,
Tomates HH (EU) NAT.FRESH 39 15LBS,Y1714,,EU,"16,00 $",15LBS/ 39,UN,39,,OUI,Canadawide,,,,26 mars 2024,
Tomates HH (ON) Del Fresco 5kg ,Y1715,,ON,"12,50 $",5kg/11lbs,LBS,11,,OUI,Canadawide,,,,10 févr. 2024,
Tomates HH (QC) Demers MED/LG 20/lbs ,Y1716,,QC,"26,50 $",BOITE,LBS,20,,OUI,Canadawide,,,,16 févr. 2024,
Tomates HH (QC) Rouge SAVOURA 15 LBS 35/39,Y1718,,QC,"26,50 $",15LBS/ 35-39,UN,35,,OUI,Canadawide,,,,26 mars 2024,
TOMATILLOS BTE. PLASTIQUE 35LBS MX,Y1721,,MX,"54,50 $",BOITE 35LBS,LBS,35,,OUI,Canadawide,,,,23 septembre 2025,
TOPINAMBOUR (BIO) 10LBS CA,Y1723,BIO,CA,"39,50 $",SAC 10 LBS,LBS,10,,OUI,Canadawide,,,,25 févr. 2025,
TOPINAMBOUR 20LBS QC,Y1726,,QC,"45,50 $",LBS,LBS,20,,OUI,Canadawide,,,,2 mars 2025,
VIDE,Y1730,, ,"0,00 $", , ,1,,OUI,Canadawide, , , , ,
YAMS BERLO'S BEST JBO ON,Y1732,,ON,"21,50 $",BOITE/40LBS,LBS,40,,OUI,Canadawide,,,,16 déc. 2025,
YAMS BRUCE SWEET POTATO JBO EU,Y1733,,EU,"34,50 $",BOITE 40LBS,LBS,40,,OUI,Canadawide,,,,25 juin 2025,
YAMS CREOLE BELLE EU,Y1734,,EU,"34,50 $",BOITE 40LBS,LBS,40,,OUI,Canadawide,,,,19 avr. 2024,
YAMS DELTA BLUES EU,Y1735,,ON,"33,50 $",BOITE/40LBS,LBS,40,,OUI,Canadawide,,,,20 janv. 2026,
YAMS SW CREOLE  EU,Y1737,,EU,"28,00 $",BOITE 40LBS,LBS,40,#REF!,OUI,Canadawide,,,,16 avr. 2024,
ZUCCHINI GRIS  MX,Y1748,,MX,"41,50 $",6KG,KG,6,,OUI,Canadawide,,,,16 févr. 2026,
ZUCCHINI GRIS ZUCKINORD FCY 20LBS QC,Y1749,,QC,"16,75 $",20LBS,LBS,20,,OUI,Canadawide,,,,12 août 2025,
ZUCCHINI JAUNE JARDIN M.G FOY 20LBS QC,Y1751,,QC,"18,00 $",20LBS,LBS,20,,OUI,Canadawide,,,,2 juill. 2024,
ZUCCHINI JAUNE MALENA MX,Y1752,,MX,"24,50 $",BOITE 40UN,UN,40,,OUI,Canadawide,,,,10 déc. 2024,
ZUCCHINI VERT FARMERS BEST 48/BOITE MX,Y1753,,MX,"13,75 $",BOITE,UN,48,#REF!,OUI,Canadawide,,,,19 mars 2024,
ZUCCHINI VERT GREENPOINT MX +PETIT,Y1754,,MX,"21,50 $",BOITE 4/7,LBS,20,,OUI,Canadawide,,,,2 avr. 2024,
ZUCCHINI VERT MED NOTARO QC,Y1755,,QC,"10,75 $",BOITE 20LBS,LBS,20,,OUI,Canadawide,,,,23 septembre 2025,
ZUCCHINI VERT SUNFED XF MX,Y1756,,MX,"9,50 $",BOITE 22 LBS,LBS,22,,OUI,Canadawide,,,,16 déc. 2025,
ZUCCHINI VERT SURPRENANT FCY 20LBS QC,Y1757,,QC,"14,75 $",BOITE 20LBS,LBS,20,,OUI,Canadawide,,,,7 oct. 2025,
ZUCCHINI VERT ZUCKINORD FCY 20LBS QC,Y1758,,QC,"18,75 $",BOITE 20LBS,LBS,20,,OUI,Canadawide,,,,9 septembre 2025,
